Game Date,Team,Opponent,GS,AB,Runs,Hits,2B,3B,HR,RBI,BB,IBB,HBP,K,SB,CS,SH,SF,GDP,CI,bats,hitter_name,FANTASY_PTS
"04/02/2017
",SLN,Vs. CHN,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/06/2017
",SLN,Vs. CHN,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/08/2017
",SLN,Vs. CIN,1,3,1,2,1,0,0,2,2,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,18
"04/09/2017
",SLN,Vs. CIN,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/10/2017
",SLN,At WSH,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,14
"04/11/2017
",SLN,At WSH,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,3
"04/12/2017
",SLN,At WSH,1,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,R,Jedd_Gyorko,8
"04/15/2017
",SLN,At NYA,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,14
"04/16/2017
",SLN,At NYA,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,7
"04/18/2017
",SLN,Vs. PIT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/19/2017
",SLN,Vs. PIT,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,2
"04/20/2017
",SLN,At MIL,1,3,2,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,28
"04/21/2017
",SLN,At MIL,1,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,8
"04/22/2017
",SLN,At MIL,1,4,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,R,Jedd_Gyorko,14
"04/25/2017
",SLN,Vs. TOR,1,5,0,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,13
"04/27/2017
(1)
",SLN,Vs. TOR,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,2
"04/27/2017
(2)
",SLN,Vs. TOR,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"04/28/2017
",SLN,Vs. CIN,1,4,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,19
"04/30/2017
",SLN,Vs. CIN,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,8
"05/01/2017
",SLN,Vs. MIL,1,5,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,34
"05/02/2017
",SLN,Vs. MIL,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/04/2017
",SLN,Vs. MIL,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,3
"05/05/2017
",SLN,At ATL,1,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,12
"05/06/2017
",SLN,At ATL,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,3
"05/07/2017
",SLN,At ATL,1,5,0,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,R,Jedd_Gyorko,9
"05/08/2017
",SLN,At MIA,1,5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,7
"05/09/2017
",SLN,At MIA,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,R,Jedd_Gyorko,7
"05/10/2017
",SLN,At MIA,1,4,1,3,0,0,0,2,1,0,0,1,1,0,0,0,0,0,R,Jedd_Gyorko,22
"05/12/2017
",SLN,Vs. CHN,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,2
"05/13/2017
",SLN,Vs. CHN,1,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,14
"05/14/2017
",SLN,Vs. CHN,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,5
"05/16/2017
",SLN,Vs. BOS,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,3
"05/17/2017
",SLN,Vs. BOS,1,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,6
"05/19/2017
",SLN,Vs. SFN,1,4,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,R,Jedd_Gyorko,10
"05/20/2017
",SLN,Vs. SFN,1,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,6
"05/23/2017
",SLN,At LAN,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,0
"05/24/2017
",SLN,At LAN,1,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,15
"05/25/2017
",SLN,At LAN,1,4,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,14
"05/26/2017
",SLN,At COL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R,Jedd_Gyorko,0
"05/27/2017
",SLN,At COL,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,R,Jedd_Gyorko,2
"05/28/2017
",SLN,At COL,1,3,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,16
"05/29/2017
",SLN,Vs. LAN,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,R,Jedd_Gyorko,2
"05/31/2017
",SLN,Vs. LAN,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/01/2017
",SLN,Vs. LAN,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,11
"06/04/2017
",SLN,At CHN,1,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,R,Jedd_Gyorko,10
"06/05/2017
",SLN,At CIN,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,R,Jedd_Gyorko,0
"06/06/2017
",SLN,At CIN,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,6
"06/07/2017
",SLN,At CIN,1,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,5
"06/08/2017
",SLN,At CIN,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/09/2017
",SLN,Vs. PHI,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,8
"06/10/2017
",SLN,Vs. PHI,1,3,1,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,R,Jedd_Gyorko,13
"06/11/2017
",SLN,Vs. PHI,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,2
"06/13/2017
(1)
",SLN,Vs. MIL,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,4
"06/13/2017
(2)
",SLN,Vs. MIL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/14/2017
",SLN,Vs. MIL,1,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,4
"06/15/2017
",SLN,Vs. MIL,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,3
"06/16/2017
",SLN,At BAL,1,4,1,1,0,0,1,1,1,0,0,3,0,0,0,0,0,0,R,Jedd_Gyorko,16
"06/17/2017
",SLN,At BAL,1,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,6
"06/18/2017
",SLN,At BAL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"06/20/2017
",SLN,At PHI,1,5,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,R,Jedd_Gyorko,14
"06/21/2017
",SLN,At PHI,1,4,1,3,0,0,1,2,1,1,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,24
"06/22/2017
",SLN,At PHI,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,2
"06/23/2017
",SLN,Vs. PIT,1,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,6
"06/24/2017
",SLN,Vs. PIT,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,R,Jedd_Gyorko,5
"06/25/2017
",SLN,Vs. PIT,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,7
"06/26/2017
",SLN,Vs. CIN,1,3,1,2,0,0,1,3,1,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,23
"06/27/2017
",SLN,At ARI,1,3,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,R,Jedd_Gyorko,11
"06/28/2017
",SLN,At ARI,1,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,11
"06/29/2017
",SLN,At ARI,1,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,10
"06/30/2017
",SLN,Vs. WSH,1,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,16
"07/01/2017
",SLN,Vs. WSH,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,0
"07/02/2017
",SLN,Vs. WSH,1,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,R,Jedd_Gyorko,2
"07/03/2017
",SLN,Vs. MIA,1,2,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,R,Jedd_Gyorko,19
"07/05/2017
",SLN,Vs. MIA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,R,Jedd_Gyorko,2
"07/06/2017
",SLN,Vs. MIA,1,4,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,8
"07/07/2017
",SLN,Vs. NYN,1,3,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,R,Jedd_Gyorko,19
"07/08/2017
",SLN,Vs. NYN,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,R,Jedd_Gyorko,2
"07/09/2017
",SLN,Vs. NYN,1,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,2
"07/14/2017
",SLN,At PIT,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,R,Jedd_Gyorko,16
"07/15/2017
",SLN,At PIT,1,3,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,R,Jedd_Gyorko,7
"07/16/2017
",SLN,At PIT,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,R,Jedd_Gyorko,0
